Date,atm,Nearest_exp_straddle,Next_exp_straddle,spot_price,nearest_exp,second_exp,dte1,dte2,straddle_diff,Time,Datetime,weekday,Year
2021-01-01 00:00:00,31300,2328.2,3677.65,31350.15,2021-01-07 00:00:00,2021-01-14 00:00:00,6,13,1349.45,09:55:00,2021-01-01 09:55:00,Friday,2021
2021-01-01 00:00:00,31300,2308.55,3605,31238.15,2021-01-07 00:00:00,2021-01-14 00:00:00,6,13,1296.45,12:05:00,2021-01-01 12:05:00,Friday,2021
2021-01-01 00:00:00,31300,2191.35,3367.4,31224.7,2021-01-07 00:00:00,2021-01-14 00:00:00,6,13,1176.05,15:25:00,2021-01-01 15:25:00,Friday,2021
2021-01-01 00:00:00,31300,2177.5,3470.55,31201.4,2021-01-07 00:00:00,2021-01-14 00:00:00,6,13,1293.05,15:30:00,2021-01-01 15:30:00,Friday,2021
2021-01-04 00:00:00,31400,1896.05,3144.25,31393.85,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1248.2,09:25:00,2021-01-04 09:25:00,Monday,2021
2021-01-04 00:00:00,31400,1865.55,3143,31460.05,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1277.45,09:35:00,2021-01-04 09:35:00,Monday,2021
2021-01-04 00:00:00,31400,1853.65,3092.35,31457.95,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1238.7,09:45:00,2021-01-04 09:45:00,Monday,2021
2021-01-04 00:00:00,31400,1848.6,3091.3,31453.65,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1242.7,09:55:00,2021-01-04 09:55:00,Monday,2021
2021-01-04 00:00:00,31400,1845.85,3066.35,31475.9,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1220.5,10:05:00,2021-01-04 10:05:00,Monday,2021
2021-01-04 00:00:00,31400,1818.65,3049.2,31428.05,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1230.55,10:15:00,2021-01-04 10:15:00,Monday,2021
2021-01-04 00:00:00,31400,1816.3,3062.55,31431.8,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1246.25,10:25:00,2021-01-04 10:25:00,Monday,2021
2021-01-04 00:00:00,31400,1827.55,3072.05,31405.85,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1244.5,10:35:00,2021-01-04 10:35:00,Monday,2021
2021-01-04 00:00:00,31400,1809.6,3082.5,31389.15,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1272.9,10:45:00,2021-01-04 10:45:00,Monday,2021
2021-01-04 00:00:00,31400,1969,3235.45,31253.15,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1266.45,10:55:00,2021-01-04 10:55:00,Monday,2021
2021-01-04 00:00:00,31400,2323.55,3469.45,30962.8,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1145.9,11:05:00,2021-01-04 11:05:00,Monday,2021
2021-01-04 00:00:00,31400,2112.75,3282.4,31100.95,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1169.65,11:15:00,2021-01-04 11:15:00,Monday,2021
2021-01-04 00:00:00,31400,2131.65,3343.35,31076.3,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1211.7,11:25:00,2021-01-04 11:25:00,Monday,2021
2021-01-04 00:00:00,31400,1967.5,3178.95,31197.8,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1211.45,11:35:00,2021-01-04 11:35:00,Monday,2021
2021-01-04 00:00:00,31400,1955.2,3174.45,31202.8,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1219.25,11:45:00,2021-01-04 11:45:00,Monday,2021
2021-01-04 00:00:00,31400,1979.4,3183.65,31147.85,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1204.25,11:55:00,2021-01-04 11:55:00,Monday,2021
2021-01-04 00:00:00,31400,1952.9,3198.7,31144.75,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1245.8,12:15:00,2021-01-04 12:15:00,Monday,2021
2021-01-04 00:00:00,31400,1981.1,3209.3,31119.35,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1228.2,12:25:00,2021-01-04 12:25:00,Monday,2021
2021-01-04 00:00:00,31400,1904.25,3147.15,31182.45,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1242.9,12:35:00,2021-01-04 12:35:00,Monday,2021
2021-01-04 00:00:00,31400,1850.3,3075.95,31221.35,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1225.65,12:45:00,2021-01-04 12:45:00,Monday,2021
2021-01-04 00:00:00,31400,1853.25,3113.45,31187.35,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1260.2,12:55:00,2021-01-04 12:55:00,Monday,2021
2021-01-04 00:00:00,31400,1906.85,3147.2,31146,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1240.35,13:05:00,2021-01-04 13:05:00,Monday,2021
2021-01-04 00:00:00,31400,1817.15,3067.55,31238.5,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1250.4,13:35:00,2021-01-04 13:35:00,Monday,2021
2021-01-04 00:00:00,31400,1844,3110.3,31208.85,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1266.3,13:45:00,2021-01-04 13:45:00,Monday,2021
2021-01-04 00:00:00,31400,2039.85,3259.45,31099.75,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1219.6,14:05:00,2021-01-04 14:05:00,Monday,2021
2021-01-04 00:00:00,31400,1960.05,3199.05,31129.3,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1239,14:15:00,2021-01-04 14:15:00,Monday,2021
2021-01-04 00:00:00,31400,1971.2,3190.45,31118.45,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1219.25,14:25:00,2021-01-04 14:25:00,Monday,2021
2021-01-04 00:00:00,31400,1920,3131.35,31137.3,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1211.35,14:35:00,2021-01-04 14:35:00,Monday,2021
2021-01-04 00:00:00,31400,1916.3,3133.5,31147.6,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1217.2,14:45:00,2021-01-04 14:45:00,Monday,2021
2021-01-04 00:00:00,31400,1882.25,3106.6,31178.5,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1224.35,14:55:00,2021-01-04 14:55:00,Monday,2021
2021-01-04 00:00:00,31400,1890.1,3092.3,31200,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1202.2,15:05:00,2021-01-04 15:05:00,Monday,2021
2021-01-04 00:00:00,31400,1890.9,3107.25,31198.75,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1216.35,15:15:00,2021-01-04 15:15:00,Monday,2021
2021-01-04 00:00:00,31400,1816.85,3073.6,31266.2,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1256.75,15:25:00,2021-01-04 15:25:00,Monday,2021
2021-01-04 00:00:00,31400,1789.65,3047,31275.15,2021-01-07 00:00:00,2021-01-14 00:00:00,3,10,1257.35,15:30:00,2021-01-04 15:30:00,Monday,2021
2021-01-05 00:00:00,31000,1685.9,3032.75,31029.55,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1346.85,09:25:00,2021-01-05 09:25:00,Tuesday,2021
2021-01-05 00:00:00,31000,1735.65,3034.4,31115.25,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1298.75,09:35:00,2021-01-05 09:35:00,Tuesday,2021
2021-01-05 00:00:00,31000,1744.5,3075.85,31129,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1331.35,09:45:00,2021-01-05 09:45:00,Tuesday,2021
2021-01-05 00:00:00,31000,1748.85,3090.4,31152.4,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1341.55,09:55:00,2021-01-05 09:55:00,Tuesday,2021
2021-01-05 00:00:00,31000,1697.1,3059.9,31088.15,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1362.8,10:05:00,2021-01-05 10:05:00,Tuesday,2021
2021-01-05 00:00:00,31000,1688.85,3052.1,31051.95,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1363.25,10:15:00,2021-01-05 10:15:00,Tuesday,2021
2021-01-05 00:00:00,31000,1695.25,3046.5,31118.05,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1351.25,10:25:00,2021-01-05 10:25:00,Tuesday,2021
2021-01-05 00:00:00,31000,1680.15,3019.6,31148.05,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1339.45,10:35:00,2021-01-05 10:35:00,Tuesday,2021
2021-01-05 00:00:00,31000,1671.85,3039.65,31157.55,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1367.8,10:45:00,2021-01-05 10:45:00,Tuesday,2021
2021-01-05 00:00:00,31000,1717.3,3061.65,31232.3,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1344.35,10:55:00,2021-01-05 10:55:00,Tuesday,2021
2021-01-05 00:00:00,31000,1713.55,3078.9,31241.2,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1365.35,11:05:00,2021-01-05 11:05:00,Tuesday,2021
2021-01-05 00:00:00,31000,1840.2,3139.7,31325.3,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1299.5,11:15:00,2021-01-05 11:15:00,Tuesday,2021
2021-01-05 00:00:00,31000,1889.4,3158.35,31373.3,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1268.95,11:25:00,2021-01-05 11:25:00,Tuesday,2021
2021-01-05 00:00:00,31000,1923.4,3201.65,31376.4,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1278.25,11:35:00,2021-01-05 11:35:00,Tuesday,2021
2021-01-05 00:00:00,31000,1918.2,3169.9,31368.95,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1251.7,12:15:00,2021-01-05 12:15:00,Tuesday,2021
2021-01-05 00:00:00,31000,1965.8,3197.6,31398.35,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1231.8,12:35:00,2021-01-05 12:35:00,Tuesday,2021
2021-01-05 00:00:00,31000,1908.15,3163.5,31335.7,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1255.35,13:15:00,2021-01-05 13:15:00,Tuesday,2021
2021-01-05 00:00:00,31000,1883.15,3158.3,31312.8,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1275.15,13:25:00,2021-01-05 13:25:00,Tuesday,2021
2021-01-05 00:00:00,31000,1916.55,3178.1,31359.85,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1261.55,13:35:00,2021-01-05 13:35:00,Tuesday,2021
2021-01-05 00:00:00,31000,2027.9,3233.6,31457.7,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1205.7,13:45:00,2021-01-05 13:45:00,Tuesday,2021
2021-01-05 00:00:00,31000,2043.05,3284.95,31443.1,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1241.9,13:55:00,2021-01-05 13:55:00,Tuesday,2021
2021-01-05 00:00:00,31000,2270.8,3518.1,31550.75,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1247.3,14:05:00,2021-01-05 14:05:00,Tuesday,2021
2021-01-05 00:00:00,31000,2348.6,3453.75,31623.6,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1105.15,14:15:00,2021-01-05 14:15:00,Tuesday,2021
2021-01-05 00:00:00,31000,2420.45,3437.9,31650.2,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1017.45,14:25:00,2021-01-05 14:25:00,Tuesday,2021
2021-01-05 00:00:00,31000,2635.4,3600.25,31733.35,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,964.85,14:35:00,2021-01-05 14:35:00,Tuesday,2021
2021-01-05 00:00:00,31000,2553.25,3573.8,31685.2,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1020.55,14:45:00,2021-01-05 14:45:00,Tuesday,2021
2021-01-05 00:00:00,31000,2577.4,3591.1,31703.75,2021-01-07 00:00:00,2021-01-14 00:00:00,2,9,1013.7,14:55:00,2021-01-05 14:55:00,Tuesday,2021
